Category,Company,State,Notes
Regional Mechanical,McClure Company,PA,Mechanical + energy services; statewide facility relationships.
Regional Mechanical,Limbach,PA,Mission-critical MEP; public platform; growing ODR service mix.
Regional Mechanical,Elliott-Lewis,PA,Philadelphia commercial HVAC/services anchor.
Regional Mechanical,H.T. Lyons,PA,Lehigh Valley leader; design-build + service.
Regional Mechanical,Worth & Company,PA,Complex mechanical; in-house prefab; sticky clients.
Regional Mechanical,J.J. White,PA,Industrial/commercial multi-trade; decades-long brand.
Regional Mechanical,Farfield,PA,M/E integration; institutional focus.
Regional Mechanical,McKamish,PA,Large Western PA mechanical; healthcare/industrial.
Regional Mechanical,James CRAFT & Son,PA,Longstanding mechanical across central PA.
Regional Mechanical,S.P. McCarl,PA,Union mechanical; industrial/service capability.
Regional Mechanical,Renick Brothers,PA,Design-build/BIM; Western PA coverage.
Regional Mechanical,Mollenberg-Betz,NY,Industrial/process mechanical; Buffalo anchor.
Regional Mechanical,John W. Danforth,NY,Major NE mechanical; fabrication capacity.
Residential/Light Commercial (Service-Heavy),Oliver Heating & Cooling,PA,Delaware Valley brand scale.
Residential/Light Commercial (Service-Heavy),Haller Enterprises,PA,Multi-trade; strong cross-division execution.
Residential/Light Commercial (Service-Heavy),ECI Comfort,PA,Longstanding memberships; suburban density.
Residential/Light Commercial (Service-Heavy),Carney PHC,PA,Residential HVAC/plumbing; Bucks/Montco presence.
Residential/Light Commercial (Service-Heavy),Mattioni,PA,Award-winning residential services; Chester County.
Residential/Light Commercial (Service-Heavy),Christian HVAC,PA,High trust brand; suburban Philadelphia.
Residential/Light Commercial (Service-Heavy),WM Henderson,PA,Residential services; recurring plans.
Residential/Light Commercial (Service-Heavy),Brandywine Valley HVAC,PA,Residential/light commercial; affluent market.
Residential/Light Commercial (Service-Heavy),AJ Perri,NJ,NJ platform; strong marketing engine.
Residential/Light Commercial (Service-Heavy),Air Group,NJ,Multi-trade leader; NJ/NY metro.
Residential/Light Commercial (Service-Heavy),Service Professionals,NJ,North Jersey density.
Residential/Light Commercial (Service-Heavy),R.A. Nichols,NJ,Central NJ; high reputation.
Residential/Light Commercial (Service-Heavy),Joseph Frederick & Sons,DE,Legacy brand; multi-trade.
Controls / BAS & Energy,Tozour Energy Systems,PA,Trane/BAS/energy pedigree.
Controls / BAS & Energy,CM3 Building Solutions,PA,BAS + security; energy services.
Controls / BAS & Energy,Energy Transfer Solutions,PA,Equipment/parts + commercial service.
Controls / BAS & Energy,ModernControls,DE,BAS + service; 2024 Orion partnership—active growth.
Refrigeration & Specialty Service,Triangle Refrigeration,PA,Commercial refrigeration + HVAC; contract base.
Scaled Consolidators / Public Platforms,Limbach,PA,Public platform; ODR/service mix rising; acquisitive.
Scaled Consolidators / Public Platforms,W.E. Bowers,MD,Large DC-area mechanical; service programs.
Scaled Consolidators / Public Platforms,Poole & Kent / EMCOR,MD,Complex industrial/commercial; service.
Scaled Consolidators / Public Platforms,Binsky,NJ,Scale + service; prefab; NJ/NY reach.
Scaled Consolidators / Public Platforms,Sila Services,PA,Residential consolidator; active M&A.
Scaled Consolidators / Public Platforms,Horizon Services,DE/PA/NJ,Home-services consolidator; heavy demand gen.
Scaled Consolidators / Public Platforms,Petro Home Services,NE,HVAC + fuel; very large customer base.
Regional/Commercial Service Divisions,Ruthrauff Service,PA,Service-first in Pittsburgh; tri-state reach.
Regional/Commercial Service Divisions,Danforth Service,NY,Major service division; NE regional.
Regional/Commercial Service Divisions,Warko Group,PA,Multi-trade; Reading/Harrisburg.
Regional/Commercial Service Divisions,CM3 BAS Service,PA,Controls-led service renewals.
Regional/Commercial Service Divisions,ETS Service,PA,Balancing/OEM parts; commercial focus.
Regional/Commercial Service Divisions,ModernControls Service,DE,BAS-driven maintenance.
Regional/Commercial Service Divisions,Hutchinson Commercial,NJ,Energy solutions + service contracts.
Regional/Commercial Service Divisions,Air Group Commercial,NJ,Commercial HVAC/electrical.
Regional/Commercial Service Divisions,AJ Perri Commercial,NJ,SMB service programs.
Regional/Commercial Service Divisions,Christian HVAC Commercial,PA,Maintenance agreements; suburbs.
Regional/Commercial Service Divisions,WM Henderson Commercial,PA,DE Valley service plans.
Other,Burkholder’s HVAC,PA,Lehigh Valley; acquisitive signal.
Other,Jack Lehr,PA,ESOP dynamics; strong local brand.
